Hour,Rho,Min Congestion,Min Congestion Toll,Min Emission,Min Emission Toll,Max Revenue,Max Revenue Toll
5,0.25,6.2534228819751245,0.0,6.166684932907287,0.5,0.0,0.5
6,0.25,7.938119104424928,2.0,7.444438737903143,2.5,0.0,2.0
7,0.25,8.662937641165342,6.0,7.622147685801276,7.5,0.0,2.5
8,0.25,8.6447151779154,6.5,7.618727025810816,6.5,0.0,2.5
9,0.25,8.34538878593601,2.5,7.575220796895349,7.5,0.0,2.0
10,0.25,8.480125131182007,3.0,7.590035860314188,9.5,0.0,2.0
11,0.25,8.59673353998594,3.5,7.606500401830588,6.5,0.0,2.5
12,0.25,8.71741609699233,6.5,7.6375308136029725,8.0,0.0,2.5
13,0.25,8.81472751108783,9.5,7.665261064117231,9.5,0.0,2.5
14,0.25,9.140032629335531,7.5,7.795610558802363,7.5,0.0,3.0
15,0.25,9.286258071795993,10.0,7.860698307126877,10.0,0.0,2.5
16,0.25,9.117846642562673,8.5,7.783493436910147,8.5,0.0,3.0
17,0.25,9.06926495106764,7.5,7.763551474938876,7.5,0.0,3.0
18,0.25,8.855749325979488,7.5,7.68194375138452,7.5,0.0,2.5
19,0.25,8.235733672319718,2.5,7.561537031107641,6.5,0.0,2.0
