Flow Equi,Flow Target,Lane Type,Date,Hour,Segment
496.9165304992724,279.0769231,Ordinary Lane,2021-02-01,14,3420 - Auto Mall NB
459.82858142422464,294.5384615,Ordinary Lane,2021-02-01,14,3420 - Auto Mall NB
430.809437609411,320.0,Ordinary Lane,2021-02-01,14,3420 - Auto Mall NB
409.46311373708517,326.2307692,Ordinary Lane,2021-02-01,14,3420 - Auto Mall NB
455.06178531739494,328.0769231,Ordinary Lane,2021-02-01,14,3420 - Auto Mall NB
497.80922944152417,311.0769231,Ordinary Lane,2021-02-01,14,3420 - Auto Mall NB
460.7503423250866,313.5384615,Ordinary Lane,2021-02-01,14,3420 - Auto Mall NB
431.770918942255,347.6923077,Ordinary Lane,2021-02-01,14,3420 - Auto Mall NB
410.5350305490549,349.3076923,Ordinary Lane,2021-02-01,14,3420 - Auto Mall NB
457.49814582471225,351.3846154,Ordinary Lane,2021-02-01,14,3420 - Auto Mall NB
497.80922944152417,372.5384615,Ordinary Lane,2021-02-01,14,3420 - Auto Mall NB
460.7503423250866,343.5384615,Ordinary Lane,2021-02-01,14,3420 - Auto Mall NB
431.77091894225515,324.4615385,Ordinary Lane,2021-02-01,15,3420 - Auto Mall NB
410.53503054905786,303.3076923,Ordinary Lane,2021-02-01,15,3420 - Auto Mall NB
457.4981458247123,342.1538462,Ordinary Lane,2021-02-01,15,3420 - Auto Mall NB
497.80922944152417,347.5384615,Ordinary Lane,2021-02-01,15,3420 - Auto Mall NB
460.7503423250867,356.4615385,Ordinary Lane,2021-02-01,15,3420 - Auto Mall NB
431.7709189422554,335.3846154,Ordinary Lane,2021-02-01,15,3420 - Auto Mall NB
410.53503054905804,321.3076923,Ordinary Lane,2021-02-01,15,3420 - Auto Mall NB
457.4981458247123,323.6153846,Ordinary Lane,2021-02-01,15,3420 - Auto Mall NB
497.80922944152417,355.8461538,Ordinary Lane,2021-02-01,15,3420 - Auto Mall NB
460.7503423250868,369.8461538,Ordinary Lane,2021-02-01,15,3420 - Auto Mall NB
431.7709189422555,364.4615385,Ordinary Lane,2021-02-01,15,3420 - Auto Mall NB
410.535030549058,305.1538462,Ordinary Lane,2021-02-01,15,3420 - Auto Mall NB
457.49814582471225,301.5384615,Ordinary Lane,2021-02-01,16,3420 - Auto Mall NB
498.51628706781645,289.1538462,Ordinary Lane,2021-02-01,16,3420 - Auto Mall NB
459.82858142422674,291.1538462,Ordinary Lane,2021-02-01,16,3420 - Auto Mall NB
430.8094376094135,319.9230769,Ordinary Lane,2021-02-01,16,3420 - Auto Mall NB
409.4631137370889,324.9230769,Ordinary Lane,2021-02-01,16,3420 - Auto Mall NB
455.06178531739494,304.8461538,Ordinary Lane,2021-02-01,16,3420 - Auto Mall NB
489.25042883936123,294.5384615,Ordinary Lane,2021-02-01,16,3420 - Auto Mall NB
451.91290858349134,283.8461538,Ordinary Lane,2021-02-01,16,3420 - Auto Mall NB
422.5526633568366,318.8461538,Ordinary Lane,2021-02-01,16,3420 - Auto Mall NB
400.2579686847034,323.3076923,Ordinary Lane,2021-02-01,16,3420 - Auto Mall NB
439.36999961679504,319.7692308,Ordinary Lane,2021-02-01,16,3420 - Auto Mall NB
481.58432717944993,307.9230769,Ordinary Lane,2021-02-01,16,3420 - Auto Mall NB
443.9972357427552,304.0,Ordinary Lane,2021-02-01,17,3420 - Auto Mall NB
414.2958891042621,304.4615385,Ordinary Lane,2021-02-01,17,3420 - Auto Mall NB
391.04557456516903,319.5384615,Ordinary Lane,2021-02-01,17,3420 - Auto Mall NB
423.6782139161953,331.5384615,Ordinary Lane,2021-02-01,17,3420 - Auto Mall NB
479.9845706109058,316.2307692,Ordinary Lane,2021-02-01,17,3420 - Auto Mall NB
443.9972357427434,313.3846154,Ordinary Lane,2021-02-01,17,3420 - Auto Mall NB
414.29588910425247,315.8461538,Ordinary Lane,2021-02-01,17,3420 - Auto Mall NB
388.5938239654969,325.8461538,Ordinary Lane,2021-02-01,17,3420 - Auto Mall NB
423.67821391619475,322.3846154,Ordinary Lane,2021-02-01,17,3420 - Auto Mall NB
479.98457061090596,305.8461538,Ordinary Lane,2021-02-01,17,3420 - Auto Mall NB
443.99700997945666,298.7692308,Ordinary Lane,2021-02-01,17,3420 - Auto Mall NB
414.29543757766993,299.6153846,Ordinary Lane,2021-02-01,17,3420 - Auto Mall NB
390.4820089022316,292.0769231,Ordinary Lane,2021-02-02,14,3420 - Auto Mall NB
423.6782139161953,311.3076923,Ordinary Lane,2021-02-02,14,3420 - Auto Mall NB
479.835787453864,313.4615385,Ordinary Lane,2021-02-02,14,3420 - Auto Mall NB
443.8434185551787,325.7692308,Ordinary Lane,2021-02-02,14,3420 - Auto Mall NB
412.74769284653274,319.1538462,Ordinary Lane,2021-02-02,14,3420 - Auto Mall NB
390.10777304752105,313.0769231,Ordinary Lane,2021-02-02,14,3420 - Auto Mall NB
423.6782139161953,296.1538462,Ordinary Lane,2021-02-02,14,3420 - Auto Mall NB
471.98370684765035,331.0769231,Ordinary Lane,2021-02-02,14,3420 - Auto Mall NB
435.7355993117773,336.5384615,Ordinary Lane,2021-02-02,14,3420 - Auto Mall NB
405.6779528470475,330.8461538,Ordinary Lane,2021-02-02,14,3420 - Auto Mall NB
380.67897334770953,309.6923077,Ordinary Lane,2021-02-02,14,3420 - Auto Mall NB
407.98642821559554,290.8461538,Ordinary Lane,2021-02-02,14,3420 - Auto Mall NB
496.1044336492626,279.9230769,Ordinary Lane,2021-02-02,15,3420 - Auto Mall NB
461.0035978508051,302.2307692,Ordinary Lane,2021-02-02,15,3420 - Auto Mall NB
429.9203413476824,283.0769231,Ordinary Lane,2021-02-02,15,3420 - Auto Mall NB
408.2542932707726,285.0,Ordinary Lane,2021-02-02,15,3420 - Auto Mall NB
460.4730213872172,297.6153846,Ordinary Lane,2021-02-02,15,3420 - Auto Mall NB
496.8535014838089,308.3076923,Ordinary Lane,2021-02-02,15,3420 - Auto Mall NB
459.90582190263996,286.2307692,Ordinary Lane,2021-02-02,15,3420 - Auto Mall NB
430.05646537009386,304.2307692,Ordinary Lane,2021-02-02,15,3420 - Auto Mall NB
407.94193368156067,307.4615385,Ordinary Lane,2021-02-02,15,3420 - Auto Mall NB
460.4730213872172,304.8461538,Ordinary Lane,2021-02-02,15,3420 - Auto Mall NB
496.8535014838089,293.6923077,Ordinary Lane,2021-02-02,15,3420 - Auto Mall NB
460.83516858023796,286.0769231,Ordinary Lane,2021-02-02,15,3420 - Auto Mall NB
431.23749011581384,285.0,Ordinary Lane,2021-02-02,16,3420 - Auto Mall NB
406.84954017516486,306.1538462,Ordinary Lane,2021-02-02,16,3420 - Auto Mall NB
460.4730213872173,323.0,Ordinary Lane,2021-02-02,16,3420 - Auto Mall NB
496.47186975534106,330.3076923,Ordinary Lane,2021-02-02,16,3420 - Auto Mall NB
458.7858475508774,312.7692308,Ordinary Lane,2021-02-02,16,3420 - Auto Mall NB
429.6935903434622,304.5384615,Ordinary Lane,2021-02-02,16,3420 - Auto Mall NB
407.31472264875,291.8461538,Ordinary Lane,2021-02-02,16,3420 - Auto Mall NB
460.4730213872173,304.7692308,Ordinary Lane,2021-02-02,16,3420 - Auto Mall NB
496.8535014838089,332.8461538,Ordinary Lane,2021-02-02,16,3420 - Auto Mall NB
458.94954491088504,312.9230769,Ordinary Lane,2021-02-02,16,3420 - Auto Mall NB
430.51628812456113,321.3076923,Ordinary Lane,2021-02-02,16,3420 - Auto Mall NB
407.94043644763116,305.2307692,Ordinary Lane,2021-02-02,16,3420 - Auto Mall NB
460.4730213872173,299.1538462,Ordinary Lane,2021-02-02,17,3420 - Auto Mall NB
496.93434661069074,298.6923077,Ordinary Lane,2021-02-02,17,3420 - Auto Mall NB
459.8223425557038,326.7692308,Ordinary Lane,2021-02-02,17,3420 - Auto Mall NB
430.1437330792392,350.6923077,Ordinary Lane,2021-02-02,17,3420 - Auto Mall NB
408.0735662935476,334.1538462,Ordinary Lane,2021-02-02,17,3420 - Auto Mall NB
460.4730213872177,323.9230769,Ordinary Lane,2021-02-02,17,3420 - Auto Mall NB
496.93432738382836,327.2307692,Ordinary Lane,2021-02-02,17,3420 - Auto Mall NB
461.61399313147876,313.3076923,Ordinary Lane,2021-02-02,17,3420 - Auto Mall NB
432.01330440891843,307.6153846,Ordinary Lane,2021-02-02,17,3420 - Auto Mall NB
407.3132504807302,282.5384615,Ordinary Lane,2021-02-02,17,3420 - Auto Mall NB
460.4730213872177,278.7692308,Ordinary Lane,2021-02-02,17,3420 - Auto Mall NB
497.79727218466536,277.3846154,Ordinary Lane,2021-02-02,17,3420 - Auto Mall NB
460.9183088621545,301.0769231,Ordinary Lane,2021-02-03,14,3420 - Auto Mall NB
432.09797315539504,321.5384615,Ordinary Lane,2021-02-03,14,3420 - Auto Mall NB
408.4352217716695,336.0,Ordinary Lane,2021-02-03,14,3420 - Auto Mall NB
460.47302138721795,345.6153846,Ordinary Lane,2021-02-03,14,3420 - Auto Mall NB
497.1973182145905,345.1538462,Ordinary Lane,2021-02-03,14,3420 - Auto Mall NB
461.2868007802498,335.8461538,Ordinary Lane,2021-02-03,14,3420 - Auto Mall NB
431.7598591441607,323.6153846,Ordinary Lane,2021-02-03,14,3420 - Auto Mall NB
409.5714941996807,334.1538462,Ordinary Lane,2021-02-03,14,3420 - Auto Mall NB
461.41136853314094,363.8461538,Ordinary Lane,2021-02-03,14,3420 - Auto Mall NB
496.1279567608187,354.4615385,Ordinary Lane,2021-02-03,14,3420 - Auto Mall NB
461.721829951203,359.0769231,Ordinary Lane,2021-02-03,14,3420 - Auto Mall NB
429.9718502634508,355.7692308,Ordinary Lane,2021-02-03,14,3420 - Auto Mall NB
409.4883503421227,321.3076923,Ordinary Lane,2021-02-03,15,3420 - Auto Mall NB
462.34971567906393,313.9230769,Ordinary Lane,2021-02-03,15,3420 - Auto Mall NB
496.94840779049247,311.3076923,Ordinary Lane,2021-02-03,15,3420 - Auto Mall NB
461.7865550717028,345.8461538,Ordinary Lane,2021-02-03,15,3420 - Auto Mall NB
429.24625395167817,337.6923077,Ordinary Lane,2021-02-03,15,3420 - Auto Mall NB
408.8865770379115,339.9230769,Ordinary Lane,2021-02-03,15,3420 - Auto Mall NB
462.23242228582353,332.3076923,Ordinary Lane,2021-02-03,15,3420 - Auto Mall NB
496.47036112103063,329.7692308,Ordinary Lane,2021-02-03,15,3420 - Auto Mall NB
461.75462467282637,326.6153846,Ordinary Lane,2021-02-03,15,3420 - Auto Mall NB
429.3040798037687,349.8461538,Ordinary Lane,2021-02-03,15,3420 - Auto Mall NB
409.28924054763627,334.0,Ordinary Lane,2021-02-03,15,3420 - Auto Mall NB
462.34971567906393,340.8461538,Ordinary Lane,2021-02-03,15,3420 - Auto Mall NB
509.1015089866038,324.5384615,Ordinary Lane,2021-02-03,16,3420 - Auto Mall NB
467.4979265185952,327.4615385,Ordinary Lane,2021-02-03,16,3420 - Auto Mall NB
438.9720909060755,341.3076923,Ordinary Lane,2021-02-03,16,3420 - Auto Mall NB
418.9113082030832,339.5384615,Ordinary Lane,2021-02-03,16,3420 - Auto Mall NB
475.6949444639002,336.1538462,Ordinary Lane,2021-02-03,16,3420 - Auto Mall NB
509.1015089866038,315.4615385,Ordinary Lane,2021-02-03,16,3420 - Auto Mall NB
467.4240182092688,339.6153846,Ordinary Lane,2021-02-03,16,3420 - Auto Mall NB
438.97209090607214,338.2307692,Ordinary Lane,2021-02-03,16,3420 - Auto Mall NB
418.9112998478815,340.0,Ordinary Lane,2021-02-03,16,3420 - Auto Mall NB
475.69494446390024,344.7692308,Ordinary Lane,2021-02-03,16,3420 - Auto Mall NB
509.10150898661703,352.5384615,Ordinary Lane,2021-02-03,16,3420 - Auto Mall NB
467.4240182092617,331.9230769,Ordinary Lane,2021-02-03,16,3420 - Auto Mall NB
438.9720909060647,315.9230769,Ordinary Lane,2021-02-03,17,3420 - Auto Mall NB
418.91129984787386,322.0769231,Ordinary Lane,2021-02-03,17,3420 - Auto Mall NB
475.6949444638814,333.1538462,Ordinary Lane,2021-02-03,17,3420 - Auto Mall NB
509.1015089866171,332.5384615,Ordinary Lane,2021-02-03,17,3420 - Auto Mall NB
467.44819624659067,334.7692308,Ordinary Lane,2021-02-03,17,3420 - Auto Mall NB
438.97209090607953,328.2307692,Ordinary Lane,2021-02-03,17,3420 - Auto Mall NB
418.9112998478904,310.0,Ordinary Lane,2021-02-03,17,3420 - Auto Mall NB
475.694944463919,309.6153846,Ordinary Lane,2021-02-03,17,3420 - Auto Mall NB
509.1015089866239,315.1538462,Ordinary Lane,2021-02-03,17,3420 - Auto Mall NB
467.4602852652404,308.2307692,Ordinary Lane,2021-02-03,17,3420 - Auto Mall NB
438.97209090607214,287.4615385,Ordinary Lane,2021-02-03,17,3420 - Auto Mall NB
418.9112998478821,270.3846154,Ordinary Lane,2021-02-03,17,3420 - Auto Mall NB
475.69494446390024,321.0769231,Ordinary Lane,2021-02-04,14,3420 - Auto Mall NB
509.1015089866239,333.2307692,Ordinary Lane,2021-02-04,14,3420 - Auto Mall NB
467.4247805122903,332.4615385,Ordinary Lane,2021-02-04,14,3420 - Auto Mall NB
438.9720909060755,334.1538462,Ordinary Lane,2021-02-04,14,3420 - Auto Mall NB
418.91129984788216,342.3846154,Ordinary Lane,2021-02-04,14,3420 - Auto Mall NB
475.69494446390024,352.4615385,Ordinary Lane,2021-02-04,14,3420 - Auto Mall NB
509.1015089866033,338.8461538,Ordinary Lane,2021-02-04,14,3420 - Auto Mall NB
467.4372506824795,325.6923077,Ordinary Lane,2021-02-04,14,3420 - Auto Mall NB
438.97299299643635,355.0769231,Ordinary Lane,2021-02-04,14,3420 - Auto Mall NB
418.911299847907,359.6153846,Ordinary Lane,2021-02-04,14,3420 - Auto Mall NB
475.69494446395674,364.0,Ordinary Lane,2021-02-04,14,3420 - Auto Mall NB
509.1015089866027,345.0769231,Ordinary Lane,2021-02-04,14,3420 - Auto Mall NB
467.42516166382336,315.0,Ordinary Lane,2021-02-04,15,3420 - Auto Mall NB
438.97299299643737,317.3846154,Ordinary Lane,2021-02-04,15,3420 - Auto Mall NB
419.05199477849436,326.1538462,Ordinary Lane,2021-02-04,15,3420 - Auto Mall NB
475.6949444639583,338.7692308,Ordinary Lane,2021-02-04,15,3420 - Auto Mall NB
509.1015089866022,352.2307692,Ordinary Lane,2021-02-04,15,3420 - Auto Mall NB
467.43686953097085,347.0,Ordinary Lane,2021-02-04,15,3420 - Auto Mall NB
438.9865050442621,338.8461538,Ordinary Lane,2021-02-04,15,3420 - Auto Mall NB
418.96291013605037,349.2307692,Ordinary Lane,2021-02-04,15,3420 - Auto Mall NB
475.69494446395987,352.6923077,Ordinary Lane,2021-02-04,15,3420 - Auto Mall NB
509.1015089866017,365.5384615,Ordinary Lane,2021-02-04,15,3420 - Auto Mall NB
467.4247805123147,365.4615385,Ordinary Lane,2021-02-04,15,3420 - Auto Mall NB
438.97299299643953,342.3846154,Ordinary Lane,2021-02-04,16,3420 - Auto Mall NB
419.05950164569424,327.7692308,Ordinary Lane,2021-02-04,16,3420 - Auto Mall NB
475.694944463962,335.7692308,Ordinary Lane,2021-02-04,16,3420 - Auto Mall NB
509.1015089866017,320.0,Ordinary Lane,2021-02-04,16,3420 - Auto Mall NB
467.4240182092933,331.3846154,Ordinary Lane,2021-02-04,16,3420 - Auto Mall NB
438.972090906101,300.4615385,Ordinary Lane,2021-02-04,16,3420 - Auto Mall NB
418.9380822287545,332.3076923,Ordinary Lane,2021-02-04,16,3420 - Auto Mall NB
475.6949444639625,335.9230769,Ordinary Lane,2021-02-04,16,3420 - Auto Mall NB
509.10150898658156,342.3846154,Ordinary Lane,2021-02-04,16,3420 - Auto Mall NB
467.42401820929337,328.0769231,Ordinary Lane,2021-02-04,16,3420 - Auto Mall NB
438.9729929964396,310.4615385,Ordinary Lane,2021-02-04,16,3420 - Auto Mall NB
419.00145605645133,321.0,Ordinary Lane,2021-02-04,17,3420 - Auto Mall NB
475.69494446396254,330.6153846,Ordinary Lane,2021-02-04,17,3420 - Auto Mall NB
473.0076319512763,339.9230769,Ordinary Lane,2021-02-04,17,3420 - Auto Mall NB
457.9796643990002,336.1538462,Ordinary Lane,2021-02-04,17,3420 - Auto Mall NB
434.11773543830725,341.9230769,Ordinary Lane,2021-02-04,17,3420 - Auto Mall NB
417.1922802138982,331.6923077,Ordinary Lane,2021-02-04,17,3420 - Auto Mall NB
462.00042910504413,314.6923077,Ordinary Lane,2021-02-04,17,3420 - Auto Mall NB
473.60416586139416,319.0,Ordinary Lane,2021-02-04,17,3420 - Auto Mall NB
456.37404626849286,281.9230769,Ordinary Lane,2021-02-04,17,3420 - Auto Mall NB
423.8693059462906,263.3076923,Ordinary Lane,2021-02-04,17,3420 - Auto Mall NB
417.1954191484716,268.9230769,Ordinary Lane,2021-02-04,17,3420 - Auto Mall NB
459.6470423840092,331.0,Ordinary Lane,2021-02-05,14,3420 - Auto Mall NB
473.2189043579055,352.0769231,Ordinary Lane,2021-02-05,14,3420 - Auto Mall NB
455.25656580376153,360.2307692,Ordinary Lane,2021-02-05,14,3420 - Auto Mall NB
417.4975117710035,355.7692308,Ordinary Lane,2021-02-05,14,3420 - Auto Mall NB
413.12698384342787,323.1538462,Ordinary Lane,2021-02-05,15,3420 - Auto Mall NB
460.8961890241444,333.0,Ordinary Lane,2021-02-05,15,3420 - Auto Mall NB
467.8012674063213,352.1538462,Ordinary Lane,2021-02-05,15,3420 - Auto Mall NB
454.88129880325965,327.4615385,Ordinary Lane,2021-02-05,15,3420 - Auto Mall NB
425.24861170983075,356.2307692,Ordinary Lane,2021-02-05,15,3420 - Auto Mall NB
415.62513356082405,352.0769231,Ordinary Lane,2021-02-05,15,3420 - Auto Mall NB
460.1588683359814,346.0769231,Ordinary Lane,2021-02-05,15,3420 - Auto Mall NB
467.60863665457697,345.0,Ordinary Lane,2021-02-05,15,3420 - Auto Mall NB
451.0777798302146,363.6153846,Ordinary Lane,2021-02-05,15,3420 - Auto Mall NB
423.5397790357404,363.4615385,Ordinary Lane,2021-02-05,15,3420 - Auto Mall NB
412.6464184052818,358.7692308,Ordinary Lane,2021-02-05,15,3420 - Auto Mall NB
463.0483296121465,359.2307692,Ordinary Lane,2021-02-05,15,3420 - Auto Mall NB
463.62393174280203,353.7692308,Ordinary Lane,2021-02-05,16,3420 - Auto Mall NB
454.74139816365783,342.2307692,Ordinary Lane,2021-02-05,16,3420 - Auto Mall NB
423.08286112334326,328.3846154,Ordinary Lane,2021-02-05,16,3420 - Auto Mall NB
409.9757387860966,355.5384615,Ordinary Lane,2021-02-05,16,3420 - Auto Mall NB
459.2810685802629,345.9230769,Ordinary Lane,2021-02-05,16,3420 - Auto Mall NB
463.62393174280203,348.1538462,Ordinary Lane,2021-02-05,16,3420 - Auto Mall NB
453.7550152436725,328.3846154,Ordinary Lane,2021-02-05,16,3420 - Auto Mall NB
423.24111877594885,337.8461538,Ordinary Lane,2021-02-05,16,3420 - Auto Mall NB
