Flow Equi,Flow Target,Lane Type,Date,Hour,Segment
481.49084177093897,279.0769231,Ordinary Lane,2021-02-01,14,3420 - Auto Mall NB
444.1454202780484,294.5384615,Ordinary Lane,2021-02-01,14,3420 - Auto Mall NB
415.31339249919233,320.0,Ordinary Lane,2021-02-01,14,3420 - Auto Mall NB
393.38327948367464,326.2307692,Ordinary Lane,2021-02-01,14,3420 - Auto Mall NB
419.6453184073411,328.0769231,Ordinary Lane,2021-02-01,14,3420 - Auto Mall NB
483.51980039967987,311.0769231,Ordinary Lane,2021-02-01,14,3420 - Auto Mall NB
446.2404319834759,313.5384615,Ordinary Lane,2021-02-01,14,3420 - Auto Mall NB
417.49868224729863,347.6923077,Ordinary Lane,2021-02-01,14,3420 - Auto Mall NB
395.8195710059354,349.3076923,Ordinary Lane,2021-02-01,14,3420 - Auto Mall NB
425.1827671933523,351.3846154,Ordinary Lane,2021-02-01,14,3420 - Auto Mall NB
489.0552746885578,372.5384615,Ordinary Lane,2021-02-01,14,3420 - Auto Mall NB
451.95611453412806,343.5384615,Ordinary Lane,2021-02-01,14,3420 - Auto Mall NB
423.4606644400509,324.4615385,Ordinary Lane,2021-02-01,15,3420 - Auto Mall NB
402.4663448191912,303.3076923,Ordinary Lane,2021-02-01,15,3420 - Auto Mall NB
440.29022426356613,342.1538462,Ordinary Lane,2021-02-01,15,3420 - Auto Mall NB
487.9328483698867,347.5384615,Ordinary Lane,2021-02-01,15,3420 - Auto Mall NB
447.7393910020581,356.4615385,Ordinary Lane,2021-02-01,15,3420 - Auto Mall NB
419.0622342635727,335.3846154,Ordinary Lane,2021-02-01,15,3420 - Auto Mall NB
397.5627121729907,321.3076923,Ordinary Lane,2021-02-01,15,3420 - Auto Mall NB
440.29022426356664,323.6153846,Ordinary Lane,2021-02-01,15,3420 - Auto Mall NB
479.82532742303897,355.8461538,Ordinary Lane,2021-02-01,15,3420 - Auto Mall NB
439.36792839802274,369.8461538,Ordinary Lane,2021-02-01,15,3420 - Auto Mall NB
410.3300293991059,364.4615385,Ordinary Lane,2021-02-01,15,3420 - Auto Mall NB
387.82752868054996,305.1538462,Ordinary Lane,2021-02-01,15,3420 - Auto Mall NB
423.6948949938876,301.5384615,Ordinary Lane,2021-02-01,16,3420 - Auto Mall NB
477.8469378130641,289.1538462,Ordinary Lane,2021-02-01,16,3420 - Auto Mall NB
437.3251319939513,291.1538462,Ordinary Lane,2021-02-01,16,3420 - Auto Mall NB
408.19920500909546,319.9230769,Ordinary Lane,2021-02-01,16,3420 - Auto Mall NB
385.4587526732035,324.9230769,Ordinary Lane,2021-02-01,16,3420 - Auto Mall NB
419.64531840734156,304.8461538,Ordinary Lane,2021-02-01,16,3420 - Auto Mall NB
473.890158593108,294.5384615,Ordinary Lane,2021-02-01,16,3420 - Auto Mall NB
433.72558013263273,283.8461538,Ordinary Lane,2021-02-01,16,3420 - Auto Mall NB
403.93755622907673,318.8461538,Ordinary Lane,2021-02-01,16,3420 - Auto Mall NB
380.70127076786673,323.3076923,Ordinary Lane,2021-02-01,16,3420 - Auto Mall NB
411.5461652342495,319.7692308,Ordinary Lane,2021-02-01,16,3420 - Auto Mall NB
472.2989167493029,307.9230769,Ordinary Lane,2021-02-01,16,3420 - Auto Mall NB
432.69402026155456,304.0,Ordinary Lane,2021-02-01,17,3420 - Auto Mall NB
402.9943968851674,304.4615385,Ordinary Lane,2021-02-01,17,3420 - Auto Mall NB
379.8212820459476,319.5384615,Ordinary Lane,2021-02-01,17,3420 - Auto Mall NB
410.0582930347831,331.5384615,Ordinary Lane,2021-02-01,17,3420 - Auto Mall NB
469.6987101189621,316.2307692,Ordinary Lane,2021-02-01,17,3420 - Auto Mall NB
433.54984586870415,313.3846154,Ordinary Lane,2021-02-01,17,3420 - Auto Mall NB
404.3938829863438,315.8461538,Ordinary Lane,2021-02-01,17,3420 - Auto Mall NB
376.6975408737699,325.8461538,Ordinary Lane,2021-02-01,17,3420 - Auto Mall NB
410.05829303476975,322.3846154,Ordinary Lane,2021-02-01,17,3420 - Auto Mall NB
472.2989167493018,305.8461538,Ordinary Lane,2021-02-01,17,3420 - Auto Mall NB
432.2089070406591,298.7692308,Ordinary Lane,2021-02-01,17,3420 - Auto Mall NB
402.9962523370182,299.6153846,Ordinary Lane,2021-02-01,17,3420 - Auto Mall NB
379.82777612743286,292.0769231,Ordinary Lane,2021-02-02,14,3420 - Auto Mall NB
410.0582930347831,311.3076923,Ordinary Lane,2021-02-02,14,3420 - Auto Mall NB
472.29891674930167,313.4615385,Ordinary Lane,2021-02-02,14,3420 - Auto Mall NB
