rho,tau,x1,x2,x3,loss,regime,congestion,revenue
0.25,0.5,0.21335492308995357,0.03836183076966512,0.7482832461403812,5.96903935687905e-08,B,23.38508187848168,12.281776147673177
0.25,1.0,0.1744257021081198,0.07495897872200856,0.7506153191698717,6.517165649872393e-08,B,23.304790737569984,20.081631083707833
0.25,1.5,0.13344206650918403,0.10914716152029047,0.7574107719705255,6.7162623207424e-08,B,23.281166671611185,23.044777675803537
0.25,2.0,0.08960351349248825,0.1399339189154147,0.770462567592097,7.772643065508702e-08,B,23.334827170705253,20.632105016780343
0.25,2.5,0.04540749978836978,0.1665698863155386,0.7880226138960916,6.590705773480578e-08,B,23.462356584337215,13.069413626587531
0.25,3.0,0.004211954922860322,0.1887635864768581,0.8070244586002816,7.060521048916298e-08,B,23.635853317258984,1.4547671108067266
0.25,3.5,0.0,0.18714437199160486,0.8128556280083952,9.960764713561801e-08,A1,23.694962122586695,0.0
0.25,4.0,0.0,0.18714421249755406,0.8128557875024459,9.961673095068157e-08,A1,23.694963773565327,0.0
0.25,4.5,0.0,0.187144175055001,0.812855824944999,9.961886351206173e-08,A1,23.694964161146466,0.0
0.25,5.0,0.0,0.18714735375064628,0.8128526462493537,9.943790087689451e-08,A1,23.694931257603255,0.0
0.25,5.5,0.0,0.1871463886250108,0.8128536113749892,9.949282783642829e-08,A1,23.694941247825103,0.0
0.25,6.0,0.0,0.18750511350675766,0.8124948864932423,8.012716579625633e-08,A1,23.691231379532606,0.0
0.25,6.5,0.0,0.19417872613261558,0.8058212738673844,9.958332730660402e-08,A1,23.6234371297643,0.0
0.25,7.0,0.0,0.1941779576761976,0.8058220423238024,9.954005406432023e-08,A1,23.62344480353298,0.0
0.25,7.5,0.0,0.19417904889548424,0.8058209511045158,9.960150548649472e-08,A1,23.62343390667893,0.0
0.25,8.0,0.0,0.19418047199956118,0.8058195280004388,9.968167515404659e-08,A1,23.623419695734043,0.0
0.25,8.5,0.0,0.265625,0.734375,4.059904660053204e-05,A1,23.031905560362908,0.0
0.25,9.0,0.0,0.28125,0.71875,5.8112865654117034e-05,A1,22.932361642476145,0.0
0.25,9.5,0.0,0.296875,0.703125,7.838672170827834e-05,A1,22.842543843324272,0.0
0.5,0.5,0.44016787021541653,0.045922262340513886,0.5139098674440695,7.753668915252427e-08,B,23.384493430160575,25.338263448950453
0.5,1.0,0.38083214207477023,0.08970229586248359,0.5294655620627462,7.822686718437022e-08,B,23.34738706904679,43.8452045170683
0.5,1.5,0.32362615291010005,0.13109147918193464,0.5452823679079652,7.672334025537717e-08,B,23.383694056002092,55.888618476809725
0.5,2.0,0.2694584421382271,0.16990974035637119,0.5606318175054017,6.077009943172327e-08,B,23.474940539011698,62.04550088674817
0.5,2.5,0.21904087951375978,0.20603201807130905,0.5749271024149312,4.782478955829019e-08,B,23.601605760968738,63.0454411460479
0.5,3.0,0.17280601385988822,0.2393418041579665,0.5878521819821453,4.150096509985101e-08,B,23.746941132467548,59.68546912706679
0.5,3.5,0.13099430329913844,0.26969222906077606,0.5993134676400855,3.102309175673496e-08,B,23.89850898566789,52.78480948590433
0.5,4.0,0.09379958107448694,0.29689979053724347,0.6093006283882696,1.768081629035036e-08,B,24.04710043842577,43.19658307642272
0.5,4.5,0.06140114614148007,0.32072216537666576,0.6178766884818542,3.5363995762754085e-09,B,24.186574324213666,31.8110127987087
0.5,5.0,0.034044843423106354,0.34087070285258864,0.625084453724305,2.1395847663297123e-11,B,24.31209223571755,19.59791411651117
0.5,5.5,0.012084897539865648,0.35704338729385227,0.6308717151662822,1.7118376295534688e-08,B,24.418263980354894,7.6523383957060265
0.5,6.0,0.0,0.3635424907595292,0.6364575092404707,9.882616094017183e-08,A1,24.525796500594172,0.0
0.5,6.5,0.0,0.3635491809287929,0.636450819071207,9.818750609318903e-08,A1,24.52566432043937,0.0
0.5,7.0,0.0,0.363542835416301,0.6364571645836989,9.879320850129221e-08,A1,24.525789690945736,0.0
0.5,7.5,0.0,0.3635467911108293,0.6364532088891707,9.84154028644175e-08,A1,24.525711536316145,0.0
0.5,8.0,0.0,0.3635477694784806,0.6364522305215194,9.832207204628181e-08,A1,24.525692206520493,0.0
0.5,8.5,0.0,0.3635447076317714,0.6364552923682286,9.861430367909908e-08,A1,24.52575270040697,0.0
0.5,9.0,0.0,0.36354098193845596,0.636459018061544,9.897048358499265e-08,A1,24.52582631170541,0.0
0.5,9.5,0.0,0.36354812950912274,0.6364518704908773,9.828773834993766e-08,A1,24.5256850933568,0.0
0.75,0.5,0.6704443058940946,0.053598143529803154,0.2759575505761022,8.5797698040445e-08,B,23.409730985728338,38.594126468793554
0.75,1.0,0.5992444683474067,0.10530317631052905,0.2954523553420642,9.521455336497648e-08,B,23.43847619743149,68.99101564083693
0.75,1.5,0.534875330163371,0.15546638424961973,0.3096582855870093,9.327963123579204e-08,B,23.518500476518234,92.37029514256335
0.75,2.0,0.47510594878826407,0.204184324798044,0.32070972641369194,2.145286420244558e-08,B,23.62224679686428,109.39789576798567
