Time,Toll
07:00,1.0
07:05,1.0
07:10,0.75
07:15,1.0
07:20,0.75
07:25,0.75
07:30,1.0
07:35,1.0
07:40,1.0
07:45,1.0
07:50,1.25
07:55,1.0
08:00,1.0
08:05,1.0
08:10,1.0
08:15,1.0
08:20,1.0
08:25,1.0
08:30,1.0
08:35,1.0
08:40,0.75
08:45,1.0
08:50,1.0
08:55,1.0
09:00,1.0
09:05,0.75
09:10,0.75
09:15,0.75
09:20,0.75
09:25,1.0
09:30,0.75
09:35,0.75
09:40,0.75
09:45,0.75
09:50,1.0
09:55,1.0
10:00,1.0
10:05,1.0
10:10,1.0
10:15,1.0
10:20,1.0
10:25,1.0
10:30,1.0
10:35,1.0
10:40,1.0
10:45,1.25
10:50,1.25
10:55,1.0
11:00,1.0
11:05,0.75
11:10,0.75
11:15,1.0
11:20,1.0
11:25,1.0
11:30,1.0
11:35,1.0
11:40,1.0
11:45,1.0
11:50,1.5
11:55,1.25
12:00,1.5
12:05,1.5
12:10,1.75
12:15,2.75
12:20,2.25
12:25,2.5
12:30,3.25
12:35,4.0
12:40,3.0
12:45,3.75
12:50,3.75
12:55,4.75
13:00,5.0
13:05,4.0
13:10,3.0
13:15,4.0
13:20,3.0
13:25,2.25
13:30,2.75
13:35,2.75
13:40,3.75
13:45,3.75
13:50,4.75
13:55,5.0
14:00,5.0
14:05,5.0
14:10,4.0
14:15,5.0
14:20,5.0
14:25,5.0
14:30,5.0
14:35,5.0
14:40,5.0
14:45,5.0
14:50,5.0
14:55,5.0
15:00,5.0
15:05,5.0
15:10,5.0
15:15,5.0
15:20,5.0
15:25,5.0
15:30,5.0
15:35,5.0
15:40,5.0
15:45,5.0
15:50,5.0
15:55,5.0
16:00,5.0
16:05,5.0
16:10,5.0
16:15,5.0
16:20,5.0
16:25,5.0
16:30,5.0
16:35,5.0
16:40,5.0
16:45,5.0
16:50,5.0
16:55,5.0
17:00,5.0
17:05,5.0
17:10,5.0
17:15,5.0
17:20,5.0
17:25,5.0
17:30,5.0
17:35,5.0
17:40,5.0
17:45,5.0
17:50,5.0
17:55,5.0
18:00,5.0
18:05,5.0
18:10,5.0
18:15,5.0
18:20,5.0
18:25,5.0
18:30,4.0
18:35,3.0
18:40,2.0
18:45,2.0
18:50,2.5
18:55,2.25
19:00,2.5
19:05,1.5
19:10,1.0
19:15,1.5
19:20,1.5
19:25,1.25
19:30,1.25
19:35,1.0
19:40,1.0
19:45,0.75
19:50,0.75
