Date,Hour,Avg_total_toll
2021-01-01,7,
2021-01-01,8,
2021-01-01,9,
2021-01-01,10,
2021-01-01,11,
2021-01-01,12,
2021-01-01,13,
2021-01-01,14,
2021-01-01,15,
2021-01-01,16,
2021-01-01,17,
2021-01-01,18,
2021-01-01,19,
2021-01-01,20,
2021-01-01,21,
2021-01-01,22,
2021-01-01,23,
2021-01-02,0,
2021-01-02,1,
2021-01-02,2,
2021-01-02,3,
2021-01-02,4,
2021-01-02,5,
2021-01-02,6,
2021-01-02,7,
2021-01-02,8,
2021-01-02,9,
2021-01-02,10,
2021-01-02,11,
2021-01-02,12,
2021-01-02,13,
2021-01-02,14,
2021-01-02,15,
2021-01-02,16,
2021-01-02,17,
2021-01-02,18,
2021-01-02,19,
2021-01-02,20,
2021-01-02,21,
2021-01-02,22,
2021-01-02,23,
2021-01-03,0,
2021-01-03,1,
2021-01-03,2,
2021-01-03,3,
2021-01-03,4,
2021-01-03,5,
2021-01-03,6,
2021-01-03,7,
2021-01-03,8,
2021-01-03,9,
2021-01-03,10,
2021-01-03,11,
2021-01-03,12,
2021-01-03,13,
2021-01-03,14,
2021-01-03,15,
2021-01-03,16,
2021-01-03,17,
2021-01-03,18,
2021-01-03,19,
2021-01-03,20,
2021-01-03,21,
2021-01-03,22,
2021-01-03,23,
2021-01-04,0,
2021-01-04,1,
2021-01-04,2,
2021-01-04,3,
2021-01-04,4,
2021-01-04,5,0.75
2021-01-04,6,0.75
2021-01-04,7,0.75
2021-01-04,8,0.75
2021-01-04,9,0.75
2021-01-04,10,0.75
2021-01-04,11,0.75
2021-01-04,12,0.75
2021-01-04,13,1.0208333333333333
2021-01-04,14,1.5625
2021-01-04,15,1.7272727272727273
2021-01-04,16,1.3125
2021-01-04,17,1.5625
2021-01-04,18,0.9791666666666666
2021-01-04,19,0.75
2021-01-04,20,
2021-01-04,21,
2021-01-04,22,
2021-01-04,23,
2021-01-05,0,
2021-01-05,1,
2021-01-05,2,
2021-01-05,3,
2021-01-05,4,
2021-01-05,5,0.75
2021-01-05,6,0.75
2021-01-05,7,0.7916666666666666
2021-01-05,8,0.75
2021-01-05,9,0.75
2021-01-05,10,0.75
2021-01-05,11,0.75
2021-01-05,12,0.7714285714285715
2021-01-05,13,0.9583333333333334
2021-01-05,14,2.1666666666666665
2021-01-05,15,2.3333333333333335
2021-01-05,16,2.2708333333333335
2021-01-05,17,2.0625
2021-01-05,18,1.5416666666666667
2021-01-05,19,0.75
2021-01-05,20,
2021-01-05,21,
2021-01-05,22,
2021-01-05,23,
2021-01-06,0,
2021-01-06,1,
2021-01-06,2,
2021-01-06,3,
2021-01-06,4,
2021-01-06,5,0.75
2021-01-06,6,0.7708333333333334
2021-01-06,7,0.7714285714285715
2021-01-06,8,0.75
2021-01-06,9,0.75
2021-01-06,10,0.75
