Date,Hour,Minute,Segment,Avg_total_toll
2021-01-01,7,0,3420 - Auto Mall NB,
2021-01-01,7,0,3430 - Mowry NB,
2021-01-01,7,0,3440 - Decoto/84 NB,
2021-01-01,7,0,3450 - Whipple NB,
2021-01-01,7,0,3460 - Hesperian/238 NB,
2021-01-01,7,5,3420 - Auto Mall NB,
2021-01-01,7,5,3430 - Mowry NB,
2021-01-01,7,5,3440 - Decoto/84 NB,
2021-01-01,7,5,3450 - Whipple NB,
2021-01-01,7,5,3460 - Hesperian/238 NB,
2021-01-01,7,10,3420 - Auto Mall NB,
2021-01-01,7,10,3430 - Mowry NB,
2021-01-01,7,10,3440 - Decoto/84 NB,
2021-01-01,7,10,3450 - Whipple NB,
2021-01-01,7,10,3460 - Hesperian/238 NB,
2021-01-01,7,15,3420 - Auto Mall NB,
2021-01-01,7,15,3430 - Mowry NB,
2021-01-01,7,15,3440 - Decoto/84 NB,
2021-01-01,7,15,3450 - Whipple NB,
2021-01-01,7,15,3460 - Hesperian/238 NB,
2021-01-01,7,20,3420 - Auto Mall NB,
2021-01-01,7,20,3430 - Mowry NB,
2021-01-01,7,20,3440 - Decoto/84 NB,
2021-01-01,7,20,3450 - Whipple NB,
2021-01-01,7,20,3460 - Hesperian/238 NB,
2021-01-01,7,25,3420 - Auto Mall NB,
2021-01-01,7,25,3430 - Mowry NB,
2021-01-01,7,25,3440 - Decoto/84 NB,
2021-01-01,7,25,3450 - Whipple NB,
2021-01-01,7,25,3460 - Hesperian/238 NB,
2021-01-01,7,30,3420 - Auto Mall NB,
2021-01-01,7,30,3430 - Mowry NB,
2021-01-01,7,30,3440 - Decoto/84 NB,
2021-01-01,7,30,3450 - Whipple NB,
2021-01-01,7,30,3460 - Hesperian/238 NB,
2021-01-01,7,35,3420 - Auto Mall NB,
2021-01-01,7,35,3430 - Mowry NB,
2021-01-01,7,35,3440 - Decoto/84 NB,
2021-01-01,7,35,3450 - Whipple NB,
2021-01-01,7,35,3460 - Hesperian/238 NB,
2021-01-01,7,40,3420 - Auto Mall NB,
2021-01-01,7,40,3430 - Mowry NB,
2021-01-01,7,40,3440 - Decoto/84 NB,
2021-01-01,7,40,3450 - Whipple NB,
2021-01-01,7,40,3460 - Hesperian/238 NB,
2021-01-01,7,45,3420 - Auto Mall NB,
2021-01-01,7,45,3430 - Mowry NB,
2021-01-01,7,45,3440 - Decoto/84 NB,
2021-01-01,7,45,3450 - Whipple NB,
2021-01-01,7,45,3460 - Hesperian/238 NB,
2021-01-01,7,50,3420 - Auto Mall NB,
2021-01-01,7,50,3430 - Mowry NB,
2021-01-01,7,50,3440 - Decoto/84 NB,
