Hour,Origin,Destination,Demand
0,3420 - Auto Mall NB,3420 - Auto Mall NB,44.22700587084149
0,3420 - Auto Mall NB,3430 - Mowry NB,18.778082191761534
0,3420 - Auto Mall NB,3440 - Decoto/84 NB,140.03680077376657
0,3420 - Auto Mall NB,3450 - Whipple NB,1.0
0,3420 - Auto Mall NB,3460 - Hesperian/238 NB,857.224349911184
0,3430 - Mowry NB,3430 - Mowry NB,1.0
0,3430 - Mowry NB,3440 - Decoto/84 NB,5.501856531529536
0,3430 - Mowry NB,3450 - Whipple NB,1.0
0,3430 - Mowry NB,3460 - Hesperian/238 NB,33.78239004379364
0,3440 - Decoto/84 NB,3440 - Decoto/84 NB,3.5627125577175933
0,3440 - Decoto/84 NB,3450 - Whipple NB,1.0
0,3440 - Decoto/84 NB,3460 - Hesperian/238 NB,21.85578059296734
0,3450 - Whipple NB,3450 - Whipple NB,1.0
0,3450 - Whipple NB,3460 - Hesperian/238 NB,63.57442922374429
0,3460 - Hesperian/238 NB,3460 - Hesperian/238 NB,70.92531709791984
1,3420 - Auto Mall NB,3420 - Auto Mall NB,26.485518590998044
1,3420 - Auto Mall NB,3430 - Mowry NB,10.135616438356164
1,3420 - Auto Mall NB,3440 - Decoto/84 NB,111.33389613414695
1,3420 - Auto Mall NB,3450 - Whipple NB,1.0
1,3420 - Auto Mall NB,3460 - Hesperian/238 NB,622.3111293051666
1,3430 - Mowry NB,3430 - Mowry NB,1.0
1,3430 - Mowry NB,3440 - Decoto/84 NB,3.0880247081450705
1,3430 - Mowry NB,3450 - Whipple NB,1.0
1,3430 - Mowry NB,3460 - Hesperian/238 NB,17.36197529185493
1,3440 - Decoto/84 NB,3440 - Decoto/84 NB,2.3844718517719015
1,3440 - Decoto/84 NB,3450 - Whipple NB,1.0
1,3440 - Decoto/84 NB,3460 - Hesperian/238 NB,13.369637737269194
1,3450 - Whipple NB,3450 - Whipple NB,1.0
