beta[0.0, 0.5], gamma2[0.0, 1.0], gamma3[0.0, 1.0]: 0.44642794132232666
beta[0.5, 1.0], gamma2[0.0, 1.0], gamma3[0.0, 1.0]: 0.09824704378843307
beta[0.5, 1.0], gamma2[0.0, 1.0], gamma3[1.0, 2.0]: 0.0015756968641653657
beta[0.5, 1.0], gamma2[1.0, 2.0], gamma3[0.0, 1.0]: 0.2790226936340332
beta[0.5, 1.0], gamma2[1.0, 2.0], gamma3[2.0, 3.0]: 0.020173272117972374
beta[0.5, 1.0], gamma2[1.0, 2.0], gamma3[3.0, 4.0]: 0.020173272117972374
beta[0.5, 1.0], gamma2[1.0, 2.0], gamma3[4.0, 5.0]: 0.020173272117972374
beta[0.5, 1.0], gamma2[2.0, 3.0], gamma3[2.0, 3.0]: 0.01171029545366764
beta[0.5, 1.0], gamma2[2.0, 3.0], gamma3[3.0, 4.0]: 0.01171029545366764
beta[0.5, 1.0], gamma2[2.0, 3.0], gamma3[4.0, 5.0]: 0.01171029545366764
beta[0.5, 1.0], gamma2[4.0, 5.0], gamma3[1.0, 2.0]: 0.002424651524052024
beta[0.5, 1.0], gamma2[4.0, 5.0], gamma3[2.0, 3.0]: 0.002424651524052024
beta[0.5, 1.0], gamma2[4.0, 5.0], gamma3[3.0, 4.0]: 0.002424651524052024
beta[0.5, 1.0], gamma2[4.0, 5.0], gamma3[4.0, 5.0]: 0.002424651524052024
beta[0.5, 1.0], gamma2[5.0, 6.0], gamma3[0.0, 1.0]: 0.002424651524052024
beta[0.5, 1.0], gamma2[5.0, 6.0], gamma3[1.0, 2.0]: 0.002424651524052024
beta[0.5, 1.0], gamma2[5.0, 6.0], gamma3[2.0, 3.0]: 0.002424651524052024
beta[0.5, 1.0], gamma2[5.0, 6.0], gamma3[3.0, 4.0]: 0.002424651524052024
beta[0.5, 1.0], gamma2[5.0, 6.0], gamma3[4.0, 5.0]: 0.002424651524052024
beta[0.5, 1.0], gamma2[6.0, 7.0], gamma3[0.0, 1.0]: 0.002424651524052024
beta[0.5, 1.0], gamma2[6.0, 7.0], gamma3[1.0, 2.0]: 0.002424651524052024
beta[0.5, 1.0], gamma2[6.0, 7.0], gamma3[2.0, 3.0]: 0.002424651524052024
beta[0.5, 1.0], gamma2[6.0, 7.0], gamma3[3.0, 4.0]: 0.002424651524052024
beta[0.5, 1.0], gamma2[6.0, 7.0], gamma3[4.0, 5.0]: 0.002424651524052024
beta[0.5, 1.0], gamma2[7.0, 8.0], gamma3[0.0, 1.0]: 0.002424651524052024
beta[0.5, 1.0], gamma2[7.0, 8.0], gamma3[1.0, 2.0]: 0.002424651524052024
beta[0.5, 1.0], gamma2[7.0, 8.0], gamma3[2.0, 3.0]: 0.002424651524052024
beta[0.5, 1.0], gamma2[7.0, 8.0], gamma3[3.0, 4.0]: 0.002424651524052024
beta[0.5, 1.0], gamma2[7.0, 8.0], gamma3[4.0, 5.0]: 0.002424651524052024
beta[0.5, 1.0], gamma2[8.0, 9.0], gamma3[0.0, 1.0]: 0.002424651524052024
beta[0.5, 1.0], gamma2[8.0, 9.0], gamma3[1.0, 2.0]: 0.002424651524052024
beta[0.5, 1.0], gamma2[8.0, 9.0], gamma3[2.0, 3.0]: 0.002424651524052024
beta[0.5, 1.0], gamma2[8.0, 9.0], gamma3[3.0, 4.0]: 0.002424651524052024
beta[0.5, 1.0], gamma2[8.0, 9.0], gamma3[4.0, 5.0]: 0.002424651524052024
beta[0.5, 1.0], gamma2[9.0, 10.0], gamma3[0.0, 1.0]: 0.002424651524052024
beta[0.5, 1.0], gamma2[9.0, 10.0], gamma3[1.0, 2.0]: 0.002424651524052024
beta[0.5, 1.0], gamma2[9.0, 10.0], gamma3[2.0, 3.0]: 0.002424651524052024
beta[0.5, 1.0], gamma2[9.0, 10.0], gamma3[3.0, 4.0]: 0.002424651524052024
beta[0.5, 1.0], gamma2[9.0, 10.0], gamma3[4.0, 5.0]: 0.002424651524052024
