Date,Corridor,Week Day,SB Total Trips,NB Total Trips,Total,Single,TwoPeople,ThreePlus,No Valid Fastrak Transponder,Non-Revenue,Clean Air Vehicle,Total,Check
1/4/21,880,Monday,"15,423","12,572","27,995","7,887","2,328","6,659","10,943",4,174,"27,995", -   
1/5/21,880,Tuesday,"18,028","14,645","32,673","9,405","2,801","7,595","12,660",7,205,"32,673", -   
1/6/21,880,Wednesday,"18,603","15,343","33,946","9,981","2,825","7,949","12,994",6,191,"33,946", -   
1/7/21,880,Thursday,"19,442","15,228","34,670","10,038","2,969","7,923","13,485",5,250,"34,670", -   
1/8/21,880,Friday,"20,749","17,419","38,168","10,769","3,180","8,787","15,235",5,192,"38,168", -   
1/11/21,880,Monday,"18,408","14,805","33,213","9,817","2,877","7,544","12,776",3,196,"33,213", -   
1/12/21,880,Tuesday,"19,665","15,449","35,114","10,370","3,050","8,055","13,422",4,213,"35,114", -   
1/13/21,880,Wednesday,"20,417","16,118","36,535","10,617","3,068","8,535","14,079",5,231,"36,535", -   
1/14/21,880,Thursday,"20,087","16,705","36,792","10,824","3,079","8,482","14,185",3,219,"36,792", -   
1/15/21,880,Friday,"22,067","19,523","41,590","12,219","3,547","9,712","15,871",4,237,"41,590", -   
1/18/21,880,Monday,"19,942","16,014","35,956","9,123","2,939","8,770","14,973",6,145,"35,956", -   
1/19/21,880,Tuesday,"19,008","15,344","34,352","10,312","2,999","8,250","12,564",4,223,"34,352", -   
1/20/21,880,Wednesday,"18,453","15,227","33,680","9,874","2,742","8,081","12,759",7,217,"33,680", -   
1/21/21,880,Thursday,"20,014","16,649","36,663","10,828","3,174","8,400","14,026",4,231,"36,663", -   
1/22/21,880,Friday,"22,047","17,957","40,004","11,700","3,339","9,248","15,473",6,238,"40,004", -   
1/25/21,880,Monday,"18,881","15,271","34,152","9,963","2,988","8,022","12,970",4,205,"34,152", -   
1/26/21,880,Tuesday,"20,872","16,068","36,940","11,263","3,181","8,459","13,785",3,249,"36,940", -   
1/27/21,880,Wednesday,"17,995","14,836","32,831","9,779","2,765","7,951","12,109",3,224,"32,831", -   
1/28/21,880,Thursday,"18,659","14,070","32,729","9,628","2,724","7,816","12,325",6,230,"32,729", -   
1/29/21,880,Friday,"24,967","20,754","45,721","13,273","3,848","10,508","17,805",3,284,"45,721", -   
2/1/21,880,Monday,"19,400","15,243","34,643","10,075","2,993","8,301","13,062",5,207,"34,643", -   
2/2/21,880,Tuesday,"19,574","15,148","34,722","10,486","2,928","8,374","12,714",5,215,"34,722", -   
2/3/21,880,Wednesday,"22,391","17,374","39,765","11,856","3,411","9,287","14,990",9,212,"39,765", -   
2/4/21,880,Thursday,"22,401","18,188","40,589","12,036","3,515","9,619","15,151",6,262,"40,589", -   
2/5/21,880,Friday,"25,691","21,487","47,178","13,739","4,187","10,971","18,033",6,242,"47,178", -   
2/8/21,880,Monday,"19,353","16,254","35,607","10,582","3,173","8,518","13,128",3,203,"35,607", -   
2/9/21,880,Tuesday,"22,976","17,226","40,202","12,219","3,572","9,505","14,622",6,278,"40,202", -   
2/10/21,880,Wednesday,"24,314","19,717","44,031","13,118","3,843","10,306","16,480",7,277,"44,031", -   
2/11/21,880,Thursday,"24,428","18,509","42,937","12,992","3,761","10,124","15,773",6,281,"42,937", -   
2/12/21,880,Friday,"27,185","22,125","49,310","14,060","4,281","11,653","19,045",6,265,"49,310", -   
2/15/21,880,Monday,"16,194","12,844","29,038","7,496","2,279","7,614","11,553",4,92,"29,038", -   
2/16/21,880,Tuesday,"21,018","17,212","38,230","11,073","3,340","9,526","14,069",5,217,"38,230", -   
2/17/21,880,Wednesday,"23,847","18,749","42,596","12,766","3,698","10,163","15,726",3,240,"42,596", -   
2/18/21,880,Thursday,"22,828","18,354","41,182","12,173","3,625","10,103","15,030",5,246,"41,182", -   
2/19/21,880,Friday,"27,632","20,310","47,942","13,910","4,198","11,352","18,210",3,269,"47,942", -   
2/22/21,880,Monday,"21,048","17,412","38,460","11,091","3,430","9,429","14,283",3,224,"38,460", -   
2/23/21,880,Tuesday,"22,602","17,673","40,275","11,725","3,474","9,522","15,298",3,253,"40,275", -   
2/24/21,880,Wednesday,"23,463","19,407","42,870","12,780","3,612","10,406","15,812",4,256,"42,870", -   
2/25/21,880,Thursday,"24,296","19,693","43,989","13,067","3,800","10,591","16,281",4,246,"43,989", -   
2/26/21,880,Friday,"29,143","22,453","51,596","14,920","4,435","12,144","19,798",3,296,"51,596", -   
3/1/21,880,Monday,"23,048","17,572","40,620","11,832","3,528","9,800","15,222",5,233,"40,620", -   
3/2/21,880,Tuesday,"24,117","18,236","42,353","12,695","3,804","10,172","15,394",8,280,"42,353", -   
3/3/21,880,Wednesday,"24,901","18,866","43,767","13,103","3,775","10,696","15,939",5,249,"43,767", -   
3/4/21,880,Thursday,"25,155","21,069","46,224","13,982","4,006","11,071","16,894",7,264,"46,224", -   
3/5/21,880,Friday,"28,604","23,336","51,940","15,111","4,477","12,355","19,713",3,281,"51,940", -   
3/8/21,880,Monday,"21,884","17,878","39,762","11,644","3,534","9,870","14,468",6,240,"39,762", -   
3/9/21,880,Tuesday,"23,060","17,291","40,351","12,270","3,559","9,993","14,279",6,244,"40,351", -   
3/10/21,880,Wednesday,"23,605","18,347","41,952","12,687","3,774","10,488","14,760",3,240,"41,952", -   
3/11/21,880,Thursday,"24,942","19,620","44,562","13,277","4,055","11,065","15,876",4,285,"44,562", -   
3/12/21,880,Friday,"30,415","24,259","54,674","15,991","4,774","12,985","20,610",2,312,"54,674", -   
3/15/21,880,Monday,"21,173","17,342","38,515","11,351","3,348","9,844","13,749",3,220,"38,515", -   
3/16/21,880,Tuesday,"24,632","19,444","44,076","13,421","3,870","10,856","15,688",3,238,"44,076", -   
3/17/21,880,Wednesday,"25,053","19,953","45,006","13,404","4,030","11,322","15,967",6,277,"45,006", -   
3/18/21,880,Thursday,"23,991","19,005","42,996","13,054","3,847","10,611","15,195",4,285,"42,996", -   
3/19/21,880,Friday,"29,850","22,491","52,341","15,404","4,743","12,838","19,054",5,297,"52,341", -   
3/22/21,880,Monday,"23,647","18,045","41,692","12,331","3,775","10,554","14,765",4,263,"41,692", -   
3/23/21,880,Tuesday,"26,724","20,911","47,635","14,512","4,227","11,587","17,011",5,293,"47,635", -   
3/24/21,880,Wednesday,"25,210","20,541","45,751","13,886","4,031","11,406","16,194",7,227,"45,751", -   
3/25/21,880,Thursday,"26,468","21,453","47,921","14,371","4,256","11,853","17,156",11,274,"47,921", -   
3/26/21,880,Friday,"32,034","25,148","57,182","16,833","5,120","14,067","20,855",1,306,"57,182", -   
3/29/21,880,Monday,"25,743","18,906","44,649","13,249","3,937","11,191","16,020",7,245,"44,649", -   
3/30/21,880,Tuesday,"27,479","22,242","49,721","15,003","4,398","12,240","17,806",4,270,"49,721", -   
3/31/21,880,Wednesday,"29,872","22,309","52,181","15,583","4,515","12,958","18,852",5,268,"52,181", -   
4/1/21,880,Thursday,"29,849","23,677","53,526","15,728","4,749","13,035","19,731",4,279,"53,526", -   
4/2/21,880,Friday,"30,964","25,721","56,685","16,135","4,859","14,328","21,090",2,271,"56,685", -   
4/5/21,880,Monday,"24,497","20,832","45,329","13,136","3,973","11,942","16,054",7,217,"45,329", -   
4/6/21,880,Tuesday,"28,517","21,533","50,050","14,808","4,290","12,760","17,939",6,247,"50,050", -   
4/7/21,880,Wednesday,"30,208","23,145","53,353","15,711","4,654","13,857","18,833",7,291,"53,353", -   
4/8/21,880,Thursday,"28,911","23,459","52,370","15,353","4,458","13,625","18,653",4,277,"52,370", -   
4/9/21,880,Friday,"32,980","25,770","58,750","16,966","5,126","15,334","21,043",6,275,"58,750", -   
4/12/21,880,Monday,"23,300","18,514","41,814","12,131","3,715","11,280","14,437",3,248,"41,814", -   
4/13/21,880,Tuesday,"26,570","20,066","46,636","14,030","4,058","12,124","16,135",7,282,"46,636", -   
4/14/21,880,Wednesday,"27,039","21,862","48,901","14,619","4,267","12,674","17,053",7,281,"48,901", -   
4/15/21,880,Thursday,"28,359","22,087","50,446","14,988","4,343","13,051","17,763",5,296,"50,446", -   
4/16/21,880,Friday,"33,703","25,336","59,039","17,143","5,224","15,043","21,298",5,326,"59,039", -   
4/19/21,880,Monday,"24,154","18,233","42,387","12,349","3,776","11,348","14,694",3,217,"42,387", -   
4/20/21,880,Tuesday,"27,215","20,489","47,704","14,310","4,206","12,438","16,466",4,280,"47,704", -   
4/21/21,880,Wednesday,"29,346","20,874","50,220","14,714","4,472","13,484","17,231",7,312,"50,220", -   
4/22/21,880,Thursday,"27,443","21,470","48,913","14,351","4,315","12,920","17,020",12,295,"48,913", -   
4/23/21,880,Friday,"31,353","24,472","55,825","16,057","4,962","14,673","19,821",3,309,"55,825", -   
4/26/21,880,Monday,"25,590","18,680","44,270","12,940","3,939","11,966","15,173",6,246,"44,270", -   
4/27/21,880,Tuesday,"26,474","19,328","45,802","13,728","4,077","12,162","15,554",8,273,"45,802", -   
4/28/21,880,Wednesday,"27,601","21,266","48,867","14,561","4,296","12,943","16,759",8,300,"48,867", -   
4/29/21,880,Thursday,"28,216","21,993","50,209","15,140","4,471","13,054","17,235",6,303,"50,209", -   
4/30/21,880,Friday,"32,593","26,124","58,717","17,149","5,271","15,097","20,834",6,360,"58,717", -   
5/3/21,880,Monday,"25,005","20,306","45,311","13,170","4,011","11,972","15,899",5,254,"45,311", -   
5/4/21,880,Tuesday,"28,467","21,697","50,164","14,959","4,409","13,065","17,446",6,279,"50,164", -   
5/5/21,880,Wednesday,"29,845","22,596","52,441","15,263","4,593","13,865","18,381",7,332,"52,441", -   
5/6/21,880,Thursday,"29,684","23,267","52,951","15,721","4,675","13,714","18,488",4,349,"52,951", -   
5/7/21,880,Friday,"34,009","25,248","59,257","17,833","5,428","15,856","19,812",7,321,"59,257", -   
5/10/21,880,Monday,"25,707","20,520","46,227","13,193","4,017","12,746","16,006",4,261,"46,227", -   
5/11/21,880,Tuesday,"28,053","21,426","49,479","14,568","4,218","13,136","17,264",4,289,"49,479", -   
5/12/21,880,Wednesday,"29,429","21,846","51,275","15,617","4,739","13,842","16,790",4,283,"51,275", -   
5/13/21,880,Thursday,"29,063","21,704","50,767","15,870","4,637","14,514","15,414",4,328,"50,767", -   
5/14/21,880,Friday,"30,543","23,885","54,428","16,871","5,219","15,759","16,250",4,325,"54,428", -   
5/17/21,880,Monday,"27,035","20,048","47,083","13,694","4,089","12,704","16,314",5,277,"47,083", -   
5/18/21,880,Tuesday,"27,786","21,913","49,699","14,619","4,398","13,336","17,040",3,303,"49,699", -   
5/19/21,880,Wednesday,"29,446","22,574","52,020","15,322","4,493","13,857","18,047",6,295,"52,020", -   
5/20/21,880,Thursday,"30,629","22,624","53,253","15,613","4,642","13,970","18,710",7,311,"53,253", -   
5/21/21,880,Friday,"34,392","27,036","61,428","17,393","5,388","16,022","22,281",2,342,"61,428", -   
5/24/21,880,Monday,"27,315","20,216","47,531","13,583","4,090","12,939","16,645",3,271,"47,531", -   
5/25/21,880,Tuesday,"28,955","21,928","50,883","14,678","4,388","13,749","17,760",2,306,"50,883", -   
5/26/21,880,Wednesday,"33,065","23,031","56,096","16,418","4,868","14,595","19,873",3,339,"56,096", -   
5/27/21,880,Thursday,"33,871","25,426","59,297","17,685","5,103","15,233","20,959",4,313,"59,297", -   
5/28/21,880,Friday,"36,754","27,199","63,953","17,640","5,441","17,000","23,530",2,340,"63,953", -   
