ID,Fwy,Dir,District,County,City,State_PM,Abs_PM,Latitude,Longitude,,Segment,Length,Type,Lanes,Name,User_ID_1,User_ID_2,User_ID_3,User_ID_4
400041,880,N,4,1,33000,15.8,26.027,37.633535,-122.085656,"(37.633535,-122.085656)",3460 - Hesperian/238 NB,0.275,ML,4,TENNYSON RD,DTA24,L4-N-33-880-01580,998425,424744
400094,880,N,4,1,53000,28.88,39.107,37.776769,-122.236107,"(37.776769,-122.236107)",N/A,0.225,ML,4,23th Ave/Kennedy St rm-s-loop,DTA39,L4-N-33-880-02888,998482,424816
400137,880,N,4,1,26000,8.83,19.057,37.54653,-122.022581,"(37.54653,-122.022581)",3440 - Decoto/84 NB,0.3,ML,4,THORNTON AVE,DTA07,L4-N-33-880-00883,998389,424684
400141,880,N,4,1,26000,6.37,16.597,37.523522,-121.989607,"(37.523522,-121.989607)",3430 - Mowry NB,0.475,ML,4,Stevenson Blvd rm-n-diag,DT999,L4-N-33-880-00637,998375,424666
400180,880,N,4,1,,19.04,29.267,37.674405,-122.114201,"(37.674405,-122.114201)",3460 - Hesperian/238 NB,0.325,ML,5,oppo 900' S of Hacienda Ave,DT397,L5-N-33-880-01904,882233,426245
400218,880,N,4,1,53000,R33.15,43.377,37.803542,-122.301498,"(37.803542,-122.301498)",N/A,0.295,ML,4,2400' S of 7th St,DT332,L4-N-33-880-03315,999341,424852
400252,880,N,4,1,,20.42,30.647,37.687544,-122.133225,"(37.687544,-122.133225)",3460 - Hesperian/238 NB,0.43,ML,4,Lewelling Blvd rm-n-diag,DTA50,L4-N-33-880-02042,998441,424750
400275,880,N,4,1,,18.48,28.707,37.667821,-122.108348,"(37.667821,-122.108348)",3460 - Hesperian/238 NB,0.345,ML,5,A St rm-n-diag,DTA28,L5-N-33-880-01848,998437,426231
400284,880,N,4,1,33000,15.54,25.767,37.630267,-122.083308,"(37.630267,-122.083308)",3460 - Hesperian/238 NB,0.425,ML,4,Tennyson Rd off-n-diag,DT390,L4-N-33-880-01554,881219,424738
400333,880,N,4,1,68084,23.69,33.917,37.719584,-122.177086,"(37.719584,-122.177086)",N/A,0.34,ML,4,Davis St rm-n-loop/diag,DT718,L4-N-33-880-02369,998453,424774
400341,880,N,4,1,53000,28.07,38.297,37.771469,-122.22307,"(37.771469,-122.22307)",N/A,0.56,ML,4,42nd/High St rm-n-diag,DT724,L4-N-33-880-02807,998477,424804
400360,880,N,4,1,53000,24.65,34.877,37.730698,-122.187572,"(37.730698,-122.187572)",N/A,0.405,ML,4,98th Ave rm-n-loop,DTA34,L4-N-33-880-02465,998457,424780
400422,880,N,4,1,68084,23.35,33.577,37.715784,-122.173158,"(37.715784,-122.173158)",N/A,0.245,ML,4,Davis St off-n-diag,DT917,L4-N-33-880-02335,882249,424768
400488,880,N,4,1,33000,13.78,24.007,37.608066,-122.067407,"(37.608066,-122.067407)",3460 - Hesperian/238 NB,0.555,ML,5,Whipple Rd  rm-n-coll,DTA21,L5-N-33-880-01378,998417,426189
400490,880,N,4,1,26000,7.36,17.587,37.531271,-122.004734,"(37.531271,-122.004734)",3430 - Mowry NB,0.65,ML,4,Mowry Ave rm-n-diag,DTA05,L4-N-33-880-00735,998385,424678
400495,880,N,4,1,53000,25.51,35.737,37.74083,-122.196448,"(37.74083,-122.196448)",N/A,0.375,ML,4,Hegenberger Rd rm-n-loop,DTA74,L4-N-33-880-02551,998469,424786
400515,880,N,4,1,,19.96,30.187,37.683298,-122.126995,"(37.683298,-122.126995)",3460 - Hesperian/238 NB,0.37,ML,6,oppo Hesperian Blvd off-n-diag,DT757,L6-N-33-880-01996,998440,423578
400529,880,N,4,1,,19.37,29.597,37.677613,-122.118725,"(37.677613,-122.118725)",3460 - Hesperian/238 NB,0.32,ML,5,oppo Hacienda Ave OC,DT398,L5-N-33-880-01937,883233,426252
400534,880,N,4,1,26000,11.66,21.887,37.581087,-122.048943,"(37.581087,-122.048943)",3450 - Whipple NB,0.475,ML,4,ALVARADO-FREMONT BLVD,DTA16,L4-N-33-880-01166,998407,424708
400536,880,N,4,1,81204,13.14,23.367,37.600243,-122.061912,"(37.600243,-122.061912)",3450 - Whipple NB,0.615,ML,5,Alvarado-Niles Rd rm-n-diag,DTA19,L5-N-33-880-01314,998413,426182
