Hour,Rho,Min Congestion,Min Congestion Toll,Min Emission,Min Emission Toll,Max Revenue,Max Revenue Toll,Min Utility Cost,Min Utility Cost Toll
5,0.25,6.251115064155963,0.1,6.120677951902165,0.4,268.9800903826841,0.6000000000000001,2.923431117739246,0.1
6,0.25,7.430130275203093,2.2,6.39047639029079,2.3000000000000003,912.2237540914616,1.4000000000000001,3.6758477668472707,2.2
7,0.25,7.6976898810023595,4.1000000000000005,6.3440870250010075,4.4,1137.4413450638071,1.3,3.8703466292685937,3.5
8,0.25,7.7123082846837665,4.4,6.343437090213787,4.9,1145.6461391249677,1.4000000000000001,3.8762573636757542,3.4000000000000004
9,0.25,7.598156830130502,2.6,6.352790869759344,6.300000000000001,1059.9400781797128,1.3,3.7941343482360015,2.5
10,0.25,7.649062177059209,4.0,6.342946653827564,4.0,1104.841516971258,1.3,3.8333673028811237,3.9000000000000004
11,0.25,7.714208591929355,4.1000000000000005,6.343209035162967,4.800000000000001,1148.5739720409513,1.4000000000000001,3.880876904327253,3.4000000000000004
12,0.25,8.005132566412247,6.800000000000001,6.410719150743819,6.800000000000001,1300.3666959838395,1.5,4.060673040872761,6.7
13,0.25,8.76205491577444,7.7,6.788685483128091,7.7,1523.4865237346703,1.6,4.460570606590629,7.9
14,0.25,11.995464784547327,7.9,8.817591002366942,7.9,1960.8314371018905,1.4000000000000001,6.0182680468599665,7.9
15,0.25,11.643618160651059,7.9,8.589174882972516,7.9,1922.4367301369518,1.4000000000000001,5.851674195656265,7.9
16,0.25,9.339793728709171,7.9,7.129305739979452,7.9,1635.8434267223488,1.4000000000000001,4.747628690207581,7.9
17,0.25,8.863220091502722,7.9,6.846819646960533,7.9,1546.2923899110806,1.6,4.512084679909028,7.9
18,0.25,8.068018620594687,7.1000000000000005,6.435191056155187,7.1000000000000005,1328.3952157907313,1.5,4.096965210492423,6.5
19,0.25,7.503776229702091,2.4000000000000004,6.382085430207508,2.5,979.0820399744063,1.3,3.7315232311133664,2.4000000000000004
