Rho,Loss,Total Travel Time,Total Emission,Total Revenue,Total Utility Cost,Toll 0,Toll 1,Toll 2,Toll 3,Toll 4
0.25,0.015522906545192165,3730438.765765919,3730373.907255629,0.0,5013158.397166711,0.0,0.0,0.0,0.0,0.0
0.5,0.006958300953607467,3721942.542912818,3721880.061972065,0.0,4594075.467149158,0.0,0.0,0.0,0.0,0.0
0.75,0.015522906545192165,3730438.765765919,3730373.907255629,0.0,5013158.397166711,0.0,0.0,0.0,0.0,0.0
0.25,0.002643214663800078,2660853.498152918,2427125.239573433,6816.819100644517,3380113.282203888,0.0,0.0,0.0,0.0,1.0
0.5,0.005929937606353225,1886446.4924627985,1583751.3525460842,5689.215094928898,2281009.784705543,0.0,0.0,0.0,0.0,1.0
0.75,0.001492763132118091,1479605.7976171337,1177815.5380524534,7380.621103502325,1740584.5580725018,0.0,0.0,0.0,0.0,1.0
0.25,0.0021316785344252433,1561118.156709522,1259361.4211641185,0.0,1863572.8762831597,0.0,0.0,0.0,0.0,2.0
0.5,0.0052467498938178585,719939.614419366,488606.3581291677,2913.658997975048,821855.6712318589,0.0,0.0,0.0,0.0,2.0
0.75,0.011205845867938215,574184.5685584105,377175.0857098726,4553.119957056563,643469.7933725651,0.0,0.0,0.0,0.0,2.0
0.25,0.013509420350080813,1284908.540716422,983751.2808981541,4159.014371209435,1532444.3752165479,0.0,0.0,0.0,0.0,3.0
0.5,0.006032091561281677,515295.0774136387,332982.58259686787,1322.0926652552796,569719.9192051044,0.0,0.0,0.0,0.0,3.0
0.75,0.004573520076874343,411953.9836331974,262257.7076285929,4159.014371209435,442704.87163137196,0.0,0.0,0.0,0.0,3.0
0.25,0.001999957624086403,950083.6242087774,683566.439872048,5.520297334949211e-13,1100697.1268599136,0.0,0.0,0.0,0.0,4.0
0.5,0.006029426153466749,444196.6792173898,282708.9459706278,2.886495025578738e-14,482662.53753931925,0.0,0.0,0.0,0.0,4.0
0.75,0.010265917989256102,343207.6971820577,219685.88280849444,2381.4703555008755,357934.1846583565,0.0,0.0,0.0,0.0,4.0
0.25,0.002746123931919944,949079.1374596145,689692.5582045967,0.0,1125503.6256740878,0.0,0.0,0.0,0.0,5.0
0.5,0.00602940151512412,444196.42337228183,282708.7428451513,1.8350524375239306e-14,482662.07323493523,0.0,0.0,0.0,0.0,5.0
0.75,0.007786374052738498,311386.3452455939,198169.76910128377,1336.5817306798263,319764.35500477254,0.0,0.0,0.0,0.0,5.0
0.25,0.006925076886296562,3723815.847066346,3723752.3852021885,298.0232886815721,4436373.791926968,0.0,0.0,0.0,1.0,0.0
